name,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb),0-60 mph (s),year
AMC Ambassador Brougham,13.00 ,8.00 ,360.00 ,175.00 ,3821.00 ,11.00 ,73.00 
AMC Ambassador DPL,15.00 ,8.00 ,390.00 ,190.00 ,3850.00 ,8.50 ,70.00 
AMC Ambassador SST,17.00 ,8.00 ,304.00 ,150.00 ,3672.00 ,11.50 ,72.00 
AMC Concord DL 6,20.20 ,6.00 ,232.00 ,90.00 ,3265.00 ,18.20 ,79.00 
AMC Concord DL,18.10 ,6.00 ,258.00 ,120.00 ,3410.00 ,15.10 ,78.00 
AMC Concord,19.40 ,6.00 ,232.00 ,90.00 ,3210.00 ,17.20 ,78.00 
AMC Concord,24.30 ,4.00 ,151.00 ,90.00 ,3003.00 ,20.10 ,80.00 
AMC Gremlin,18.00 ,6.00 ,232.00 ,100.00 ,2789.00 ,15.00 ,73.00 
AMC Gremlin,19.00 ,6.00 ,232.00 ,100.00 ,2634.00 ,13.00 ,71.00 
AMC Gremlin,20.00 ,6.00 ,232.00 ,100.00 ,2914.00 ,16.00 ,75.00 
AMC Gremlin,21.00 ,6.00 ,199.00 ,90.00 ,2648.00 ,15.00 ,70.00 
AMC Hornet Sportabout (Wagon),18.00 ,6.00 ,258.00 ,110.00 ,2962.00 ,13.50 ,71.00 
AMC Hornet,18.00 ,6.00 ,199.00 ,97.00 ,2774.00 ,15.50 ,70.00 
AMC Hornet,18.00 ,6.00 ,232.00 ,100.00 ,2945.00 ,16.00 ,73.00 
AMC Hornet,19.00 ,6.00 ,232.00 ,100.00 ,2901.00 ,16.00 ,74.00 
AMC Hornet,22.50 ,6.00 ,232.00 ,90.00 ,3085.00 ,17.60 ,76.00 
AMC Matador (Wagon),14.00 ,8.00 ,304.00 ,150.00 ,4257.00 ,15.50 ,74.00 
AMC Matador (Wagon),15.00 ,8.00 ,304.00 ,150.00 ,3892.00 ,12.50 ,72.00 
AMC Matador,14.00 ,8.00 ,304.00 ,150.00 ,3672.00 ,11.50 ,73.00 
AMC Matador,15.00 ,6.00 ,258.00 ,110.00 ,3730.00 ,19.00 ,75.00 
AMC Matador,15.50 ,8.00 ,304.00 ,120.00 ,3962.00 ,13.90 ,76.00 
AMC Matador,16.00 ,6.00 ,258.00 ,110.00 ,3632.00 ,18.00 ,74.00 
AMC Matador,18.00 ,6.00 ,232.00 ,100.00 ,3288.00 ,15.50 ,71.00 
AMC Pacer D/L,17.50 ,6.00 ,258.00 ,95.00 ,3193.00 ,17.80 ,76.00 
AMC Pacer,19.00 ,6.00 ,232.00 ,90.00 ,3211.00 ,17.00 ,75.00 
AMC Rebel SST,16.00 ,8.00 ,304.00 ,150.00 ,3433.00 ,12.00 ,70.00 
AMC Spirit DL,27.40 ,4.00 ,121.00 ,80.00 ,2670.00 ,15.00 ,79.00 
Audi 100 LS,20.00 ,4.00 ,114.00 ,91.00 ,2582.00 ,14.00 ,73.00 
Audi 100 LS,23.00 ,4.00 ,115.00 ,95.00 ,2694.00 ,15.00 ,75.00 
Audi 100 LS,24.00 ,4.00 ,107.00 ,90.00 ,2430.00 ,14.50 ,70.00 
Audi 4000,34.30 ,4.00 ,97.00 ,78.00 ,2188.00 ,15.80 ,80.00 
Audi 5000,20.30 ,5.00 ,131.00 ,103.00 ,2830.00 ,15.90 ,78.00 
Audi 5000S (Diesel),36.40 ,5.00 ,121.00 ,67.00 ,2950.00 ,19.90 ,80.00 
Audi Fox,29.00 ,4.00 ,98.00 ,83.00 ,2219.00 ,16.50 ,74.00 
BMW 2002,26.00 ,4.00 ,121.00 ,113.00 ,2234.00 ,12.50 ,70.00 
BMW 320i,21.50 ,4.00 ,121.00 ,110.00 ,2600.00 ,12.80 ,77.00 
Buick Century 350,13.00 ,8.00 ,350.00 ,175.00 ,4100.00 ,13.00 ,73.00 
Buick Century Limited,25.00 ,6.00 ,181.00 ,110.00 ,2945.00 ,16.40 ,82.00 
Buick Century Luxus (Wagon),13.00 ,8.00 ,350.00 ,150.00 ,4699.00 ,14.50 ,74.00 
Buick Century Special,20.60 ,6.00 ,231.00 ,105.00 ,3380.00 ,15.80 ,78.00 
Buick Century,17.00 ,6.00 ,231.00 ,110.00 ,3907.00 ,21.00 ,75.00 
Buick Century,22.40 ,6.00 ,231.00 ,110.00 ,3415.00 ,15.80 ,81.00 
Buick Electra 225 Custom,12.00 ,8.00 ,455.00 ,225.00 ,4951.00 ,11.00 ,73.00 
Buick Estate Wagon (Wagon),14.00 ,8.00 ,455.00 ,225.00 ,3086.00 ,10.00 ,70.00 
Buick Estate Wagon (Wagon),16.90 ,8.00 ,350.00 ,155.00 ,4360.00 ,14.90 ,79.00 
Buick Lesabre Custom,13.00 ,8.00 ,350.00 ,155.00 ,4502.00 ,13.50 ,72.00 
Buick Opel Isuzu Deluxe,30.00 ,4.00 ,111.00 ,80.00 ,2155.00 ,14.80 ,77.00 
Buick Regal Sport Coupe (Turbo),17.70 ,6.00 ,231.00 ,165.00 ,3445.00 ,13.40 ,78.00 
Buick Skyhawk,21.00 ,6.00 ,231.00 ,110.00 ,3039.00 ,15.00 ,75.00 
Buick Skylark 320,15.00 ,8.00 ,350.00 ,165.00 ,3693.00 ,11.50 ,70.00 
Buick Skylark Limited,28.40 ,4.00 ,151.00 ,90.00 ,2670.00 ,16.00 ,79.00 
Buick Skylark,20.50 ,6.00 ,231.00 ,105.00 ,3425.00 ,16.90 ,77.00 
Buick Skylark,26.60 ,4.00 ,151.00 ,84.00 ,2635.00 ,16.40 ,81.00 
Cadillac Eldorado,23.00 ,8.00 ,350.00 ,125.00 ,3900.00 ,17.40 ,79.00 
Cadillac Seville,16.50 ,8.00 ,350.00 ,180.00 ,4380.00 ,12.10 ,76.00 
Chevroelt Chevelle Malibu,16.00 ,6.00 ,250.00 ,105.00 ,3897.00 ,18.50 ,75.00 
Chevrolet Bel Air,15.00 ,8.00 ,350.00 ,145.00 ,4440.00 ,14.00 ,75.00 
Chevrolet Camaro,27.00 ,4.00 ,151.00 ,90.00 ,2950.00 ,17.30 ,82.00 
Chevrolet Caprice Classic,13.00 ,8.00 ,400.00 ,150.00 ,4464.00 ,12.00 ,73.00 
Chevrolet Caprice Classic,17.00 ,8.00 ,305.00 ,130.00 ,3840.00 ,15.40 ,79.00 
Chevrolet Caprice Classic,17.50 ,8.00 ,305.00 ,145.00 ,3880.00 ,12.50 ,77.00 
Chevrolet Cavalier 2-Door,34.00 ,4.00 ,112.00 ,88.00 ,2395.00 ,18.00 ,82.00 
Chevrolet Cavalier Wagon,27.00 ,4.00 ,112.00 ,88.00 ,2640.00 ,18.60 ,82.00 
Chevrolet Cavalier,28.00 ,4.00 ,112.00 ,88.00 ,2605.00 ,19.60 ,82.00 
Chevrolet Chevelle Concours (Wagon),13.00 ,8.00 ,307.00 ,130.00 ,4098.00 ,14.00 ,72.00 
Chevrolet Chevelle Malibu Classic,16.00 ,6.00 ,250.00 ,100.00 ,3781.00 ,17.00 ,74.00 
Chevrolet Chevelle Malibu Classic,17.50 ,8.00 ,305.00 ,140.00 ,4215.00 ,13.00 ,76.00 
Chevrolet Chevelle Malibu,17.00 ,6.00 ,250.00 ,100.00 ,3329.00 ,15.50 ,71.00 
Chevrolet Chevelle Malibu,18.00 ,8.00 ,307.00 ,130.00 ,3504.00 ,12.00 ,70.00 
Chevrolet Chevette,29.00 ,4.00 ,85.00 ,52.00 ,2035.00 ,22.20 ,76.00 
Chevrolet Chevette,30.00 ,4.00 ,98.00 ,68.00 ,2155.00 ,16.50 ,78.00 
Chevrolet Chevette,30.50 ,4.00 ,98.00 ,63.00 ,2051.00 ,17.00 ,77.00 
Chevrolet Chevette,32.10 ,4.00 ,98.00 ,70.00 ,2120.00 ,15.50 ,80.00 
Chevrolet Citation,23.50 ,6.00 ,173.00 ,110.00 ,2725.00 ,12.60 ,81.00 
Chevrolet Citation,28.00 ,4.00 ,151.00 ,90.00 ,2678.00 ,16.50 ,80.00 
Chevrolet Citation,28.80 ,6.00 ,173.00 ,115.00 ,2595.00 ,11.30 ,79.00 
Chevrolet Concours,17.50 ,6.00 ,250.00 ,110.00 ,3520.00 ,16.40 ,77.00 
Chevrolet Impala,11.00 ,8.00 ,400.00 ,150.00 ,4997.00 ,14.00 ,73.00 
Chevrolet Impala,13.00 ,8.00 ,350.00 ,165.00 ,4274.00 ,12.00 ,72.00 
Chevrolet Impala,14.00 ,8.00 ,350.00 ,165.00 ,4209.00 ,12.00 ,71.00 
Chevrolet Impala,14.00 ,8.00 ,454.00 ,220.00 ,4354.00 ,9.00 ,70.00 
Chevrolet Malibu Classic (Wagon),19.20 ,8.00 ,267.00 ,125.00 ,3605.00 ,15.00 ,79.00 
Chevrolet Malibu,13.00 ,8.00 ,350.00 ,145.00 ,3988.00 ,13.00 ,73.00 
Chevrolet Malibu,20.50 ,6.00 ,200.00 ,95.00 ,3155.00 ,18.20 ,78.00 
Chevrolet Monte Carlo Landau,15.50 ,8.00 ,350.00 ,170.00 ,4165.00 ,11.40 ,77.00 
Chevrolet Monte Carlo Landau,19.20 ,8.00 ,305.00 ,145.00 ,3425.00 ,13.20 ,78.00 
Chevrolet Monte Carlo S,15.00 ,8.00 ,350.00 ,145.00 ,4082.00 ,13.00 ,73.00 
Chevrolet Monte Carlo,15.00 ,8.00 ,400.00 ,150.00 ,3761.00 ,9.50 ,70.00 
Chevrolet Monza 2+2,20.00 ,8.00 ,262.00 ,110.00 ,3221.00 ,13.50 ,75.00 
Chevrolet Nova Custom,16.00 ,6.00 ,250.00 ,100.00 ,3278.00 ,18.00 ,73.00 
Chevrolet Nova,15.00 ,6.00 ,250.00 ,100.00 ,3336.00 ,17.00 ,74.00 
Chevrolet Nova,18.00 ,6.00 ,250.00 ,105.00 ,3459.00 ,16.00 ,75.00 
Chevrolet Nova,22.00 ,6.00 ,250.00 ,105.00 ,3353.00 ,14.50 ,76.00 
Chevrolet Vega (Wagon),22.00 ,4.00 ,140.00 ,72.00 ,2408.00 ,19.00 ,71.00 
Chevrolet Vega 2300,28.00 ,4.00 ,140.00 ,90.00 ,2264.00 ,15.50 ,71.00 
Chevrolet Vega,20.00 ,4.00 ,140.00 ,90.00 ,2408.00 ,19.50 ,72.00 
Chevrolet Vega,21.00 ,4.00 ,140.00 ,72.00 ,2401.00 ,19.50 ,73.00 
Chevrolet Vega,25.00 ,4.00 ,140.00 ,75.00 ,2542.00 ,17.00 ,74.00 
Chevrolet Woody,24.50 ,4.00 ,98.00 ,60.00 ,2164.00 ,22.10 ,76.00 
Chevy C10,13.00 ,8.00 ,350.00 ,145.00 ,4055.00 ,12.00 ,76.00 
Chevy C20,10.00 ,8.00 ,307.00 ,200.00 ,4376.00 ,15.00 ,70.00 
Chevy S-10,31.00 ,4.00 ,119.00 ,82.00 ,2720.00 ,19.40 ,82.00 
Chrysler Cordoba,15.50 ,8.00 ,400.00 ,190.00 ,4325.00 ,12.20 ,77.00 
Chrysler Lebaron Medallion,26.00 ,4.00 ,156.00 ,92.00 ,2585.00 ,14.50 ,82.00 
Chrysler Lebaron Salon,17.60 ,6.00 ,225.00 ,85.00 ,3465.00 ,16.60 ,81.00 
Chrysler Lebaron Town & Country (Wagon),18.50 ,8.00 ,360.00 ,150.00 ,3940.00 ,13.00 ,79.00 
Chrysler New Yorker Brougham,13.00 ,8.00 ,440.00 ,215.00 ,4735.00 ,11.00 ,73.00 
Chrysler Newport Royal,13.00 ,8.00 ,400.00 ,190.00 ,4422.00 ,12.50 ,72.00 
Datsun 1200,35.00 ,4.00 ,72.00 ,69.00 ,1613.00 ,18.00 ,71.00 
Datsun 200SX,23.90 ,4.00 ,119.00 ,97.00 ,2405.00 ,14.90 ,78.00 
Datsun 200SX,32.90 ,4.00 ,119.00 ,100.00 ,2615.00 ,14.80 ,81.00 
Datsun 210,31.80 ,4.00 ,85.00 ,65.00 ,2020.00 ,19.20 ,79.00 
Datsun 210,37.00 ,4.00 ,85.00 ,65.00 ,1975.00 ,19.40 ,81.00 
Datsun 210,40.80 ,4.00 ,85.00 ,65.00 ,2110.00 ,19.20 ,80.00 
Datsun 280ZX,32.70 ,6.00 ,168.00 ,132.00 ,2910.00 ,11.40 ,80.00 
Datsun 310 GX,38.00 ,4.00 ,91.00 ,67.00 ,1995.00 ,16.20 ,82.00 
Datsun 310,37.20 ,4.00 ,86.00 ,65.00 ,2019.00 ,16.40 ,80.00 
Datsun 510 (Wagon),28.00 ,4.00 ,97.00 ,92.00 ,2288.00 ,17.00 ,72.00 
Datsun 510 Hatchback,37.00 ,4.00 ,119.00 ,92.00 ,2434.00 ,15.00 ,80.00 
Datsun 510,27.20 ,4.00 ,119.00 ,97.00 ,2300.00 ,14.70 ,78.00 
Datsun 610,22.00 ,4.00 ,108.00 ,94.00 ,2379.00 ,16.50 ,73.00 
Datsun 710,24.00 ,4.00 ,119.00 ,97.00 ,2545.00 ,17.00 ,75.00 
Datsun 710,32.00 ,4.00 ,83.00 ,61.00 ,2003.00 ,19.00 ,74.00 
Datsun 810 Maxima,24.20 ,6.00 ,146.00 ,120.00 ,2930.00 ,13.80 ,81.00 
Datsun 810,22.00 ,6.00 ,146.00 ,97.00 ,2815.00 ,14.50 ,77.00 
Datsun B-210,32.00 ,4.00 ,85.00 ,70.00 ,1990.00 ,17.00 ,76.00 
Datsun B210 GX,39.40 ,4.00 ,85.00 ,70.00 ,2070.00 ,18.60 ,78.00 
Datsun B210,31.00 ,4.00 ,79.00 ,67.00 ,1950.00 ,19.00 ,74.00 
Datsun F-10 Hatchback,33.50 ,4.00 ,85.00 ,70.00 ,1945.00 ,16.80 ,77.00 
Datsun PL510,27.00 ,4.00 ,97.00 ,88.00 ,2130.00 ,14.50 ,70.00 
Datsun PL510,27.00 ,4.00 ,97.00 ,88.00 ,2130.00 ,14.50 ,71.00 
Dodge Aries SE,29.00 ,4.00 ,135.00 ,84.00 ,2525.00 ,16.00 ,82.00 
Dodge Aries Wagon (Wagon),25.80 ,4.00 ,156.00 ,92.00 ,2620.00 ,14.40 ,81.00 
Dodge Aspen 6,20.60 ,6.00 ,225.00 ,110.00 ,3360.00 ,16.60 ,79.00 
Dodge Aspen SE,20.00 ,6.00 ,225.00 ,100.00 ,3651.00 ,17.70 ,76.00 
Dodge Aspen,18.60 ,6.00 ,225.00 ,110.00 ,3620.00 ,18.70 ,78.00 
Dodge Aspen,19.10 ,6.00 ,225.00 ,90.00 ,3381.00 ,18.70 ,80.00 
Dodge Challenger SE,15.00 ,8.00 ,383.00 ,170.00 ,3563.00 ,10.00 ,70.00 
Dodge Charger 2.2,36.00 ,4.00 ,135.00 ,84.00 ,2370.00 ,13.00 ,82.00 
Dodge Colt (Wagon),28.00 ,4.00 ,98.00 ,80.00 ,2164.00 ,15.00 ,72.00 
Dodge Colt Hardtop,25.00 ,4.00 ,97.50 ,80.00 ,2126.00 ,17.00 ,72.00 
Dodge Colt Hatchback Custom,35.70 ,4.00 ,98.00 ,80.00 ,1915.00 ,14.40 ,79.00 
Dodge Colt M/M,33.50 ,4.00 ,98.00 ,83.00 ,2075.00 ,15.90 ,77.00 
Dodge Colt,26.00 ,4.00 ,98.00 ,79.00 ,2255.00 ,17.70 ,76.00 
Dodge Colt,27.90 ,4.00 ,156.00 ,105.00 ,2800.00 ,14.40 ,80.00 
Dodge Colt,28.00 ,4.00 ,90.00 ,75.00 ,2125.00 ,14.50 ,74.00 
Dodge Coronet Brougham,16.00 ,8.00 ,318.00 ,150.00 ,4190.00 ,13.00 ,76.00 
Dodge Coronet Custom (Wagon),14.00 ,8.00 ,318.00 ,150.00 ,4457.00 ,13.50 ,74.00 
Dodge Coronet Custom,15.00 ,8.00 ,318.00 ,150.00 ,3777.00 ,12.50 ,73.00 
Dodge D100,13.00 ,8.00 ,318.00 ,150.00 ,3755.00 ,14.00 ,76.00 
Dodge D200,11.00 ,8.00 ,318.00 ,210.00 ,4382.00 ,13.50 ,70.00 
Dodge Dart Custom,15.00 ,8.00 ,318.00 ,150.00 ,3399.00 ,11.00 ,73.00 
Dodge Diplomat,19.40 ,8.00 ,318.00 ,140.00 ,3735.00 ,13.20 ,78.00 
Dodge Magnum XE,17.50 ,8.00 ,318.00 ,140.00 ,4080.00 ,13.70 ,78.00 
Dodge Monaco (Wagon),12.00 ,8.00 ,383.00 ,180.00 ,4955.00 ,11.50 ,71.00 
Dodge Monaco Brougham,15.50 ,8.00 ,318.00 ,145.00 ,4140.00 ,13.70 ,77.00 
Dodge Omni,30.90 ,4.00 ,105.00 ,75.00 ,2230.00 ,14.50 ,78.00 
Dodge Rampage,32.00 ,4.00 ,135.00 ,84.00 ,2295.00 ,11.60 ,82.00 
Dodge St. Regis,18.20 ,8.00 ,318.00 ,135.00 ,3830.00 ,15.20 ,79.00 
Fiat 124 Sport Coupe,26.00 ,4.00 ,98.00 ,90.00 ,2265.00 ,15.50 ,73.00 
Fiat 124 TC,26.00 ,4.00 ,116.00 ,75.00 ,2246.00 ,14.00 ,74.00 
Fiat 124B,30.00 ,4.00 ,88.00 ,76.00 ,2065.00 ,14.50 ,71.00 
Fiat 128,24.00 ,4.00 ,90.00 ,75.00 ,2108.00 ,15.50 ,74.00 
Fiat 128,29.00 ,4.00 ,68.00 ,49.00 ,1867.00 ,19.50 ,73.00 
Fiat 131,28.00 ,4.00 ,107.00 ,86.00 ,2464.00 ,15.50 ,76.00 
Fiat Strada Custom,37.30 ,4.00 ,91.00 ,69.00 ,2130.00 ,14.70 ,79.00 
Fiat X1.9,31.00 ,4.00 ,79.00 ,67.00 ,2000.00 ,16.00 ,74.00 
Ford Capri II,25.00 ,4.00 ,140.00 ,92.00 ,2572.00 ,14.90 ,76.00 
Ford Country Squire (Wagon),13.00 ,8.00 ,400.00 ,170.00 ,4746.00 ,12.00 ,71.00 
Ford Country Squire (Wagon),15.50 ,8.00 ,351.00 ,142.00 ,4054.00 ,14.30 ,79.00 
Ford Country,12.00 ,8.00 ,400.00 ,167.00 ,4906.00 ,12.50 ,73.00 
Ford Escort 2H,29.90 ,4.00 ,98.00 ,65.00 ,2380.00 ,20.70 ,81.00 
Ford Escort 4W,34.40 ,4.00 ,98.00 ,65.00 ,2045.00 ,16.20 ,81.00 
Ford F108,13.00 ,8.00 ,302.00 ,130.00 ,3870.00 ,15.00 ,76.00 
Ford F250,10.00 ,8.00 ,360.00 ,215.00 ,4615.00 ,14.00 ,70.00 
Ford Fairmont (Auto),20.20 ,6.00 ,200.00 ,85.00 ,2965.00 ,15.80 ,78.00 
Ford Fairmont (Man),25.10 ,4.00 ,140.00 ,88.00 ,2720.00 ,15.40 ,78.00 
Ford Fairmont 4,22.30 ,4.00 ,140.00 ,88.00 ,2890.00 ,17.30 ,79.00 
Ford Fairmont Futura,24.00 ,4.00 ,140.00 ,92.00 ,2865.00 ,16.40 ,82.00 
Ford Fairmont,26.40 ,4.00 ,140.00 ,88.00 ,2870.00 ,18.10 ,80.00 
Ford Fiesta,36.10 ,4.00 ,98.00 ,66.00 ,1800.00 ,14.40 ,78.00 
Ford Futura,18.10 ,8.00 ,302.00 ,139.00 ,3205.00 ,11.20 ,78.00 
Ford Galaxie 500,14.00 ,8.00 ,351.00 ,153.00 ,4129.00 ,13.00 ,72.00 
Ford Galaxie 500,14.00 ,8.00 ,351.00 ,153.00 ,4154.00 ,13.50 ,71.00 
Ford Galaxie 500,15.00 ,8.00 ,429.00 ,198.00 ,4341.00 ,10.00 ,70.00 
Ford Gran Torino (Wagon),13.00 ,8.00 ,302.00 ,140.00 ,4294.00 ,16.00 ,72.00 
Ford Gran Torino (Wagon),14.00 ,8.00 ,302.00 ,140.00 ,4638.00 ,16.00 ,74.00 
Ford Gran Torino,14.00 ,8.00 ,302.00 ,137.00 ,4042.00 ,14.50 ,73.00 
Ford Gran Torino,14.50 ,8.00 ,351.00 ,152.00 ,4215.00 ,12.80 ,76.00 
Ford Gran Torino,16.00 ,8.00 ,302.00 ,140.00 ,4141.00 ,14.00 ,74.00 
Ford Granada Ghia,18.00 ,6.00 ,250.00 ,78.00 ,3574.00 ,21.00 ,76.00 
Ford Granada GL,20.20 ,6.00 ,200.00 ,88.00 ,3060.00 ,17.10 ,81.00 
Ford Granada L,22.00 ,6.00 ,232.00 ,112.00 ,2835.00 ,14.70 ,82.00 
Ford Granada,18.50 ,6.00 ,250.00 ,98.00 ,3525.00 ,19.00 ,77.00 
Ford LTD Landau,17.60 ,8.00 ,302.00 ,129.00 ,3725.00 ,13.40 ,79.00 
Ford LTD,13.00 ,8.00 ,351.00 ,158.00 ,4363.00 ,13.00 ,73.00 
Ford LTD,14.00 ,8.00 ,351.00 ,148.00 ,4657.00 ,13.50 ,75.00 
