name,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb),0-60 mph (s),year
Ford Maverick,15.00 ,6.00 ,250.00 ,72.00 ,3158.00 ,19.50 ,75.00 
Ford Maverick,18.00 ,6.00 ,250.00 ,88.00 ,3021.00 ,16.50 ,73.00 
Ford Maverick,21.00 ,6.00 ,200.00 ,,2875.00 ,17.00 ,74.00 
Ford Maverick,21.00 ,6.00 ,200.00 ,85.00 ,2587.00 ,16.00 ,70.00 
Ford Maverick,24.00 ,6.00 ,200.00 ,81.00 ,3012.00 ,17.60 ,76.00 
Ford Mustang Cobra,23.60 ,4.00 ,140.00 ,,2905.00 ,14.30 ,80.00 
Ford Mustang GL,27.00 ,4.00 ,140.00 ,86.00 ,2790.00 ,15.60 ,82.00 
Ford Mustang II 2+2,25.50 ,4.00 ,140.00 ,89.00 ,2755.00 ,15.80 ,77.00 
Ford Mustang II,13.00 ,8.00 ,302.00 ,129.00 ,3169.00 ,12.00 ,75.00 
Ford Mustang,18.00 ,6.00 ,250.00 ,88.00 ,3139.00 ,14.50 ,71.00 
Ford Pinto (Wagon),22.00 ,4.00 ,122.00 ,86.00 ,2395.00 ,16.00 ,72.00 
Ford Pinto Runabout,21.00 ,4.00 ,122.00 ,86.00 ,2226.00 ,16.50 ,72.00 
Ford Pinto,18.00 ,6.00 ,171.00 ,97.00 ,2984.00 ,14.50 ,75.00 
Ford Pinto,19.00 ,4.00 ,122.00 ,85.00 ,2310.00 ,18.50 ,73.00 
Ford Pinto,23.00 ,4.00 ,140.00 ,83.00 ,2639.00 ,17.00 ,75.00 
Ford Pinto,25.00 ,4.00 ,98.00 ,,2046.00 ,19.00 ,71.00 
Ford Pinto,26.00 ,4.00 ,122.00 ,80.00 ,2451.00 ,16.50 ,74.00 
Ford Pinto,26.50 ,4.00 ,140.00 ,72.00 ,2565.00 ,13.60 ,76.00 
Ford Ranger,28.00 ,4.00 ,120.00 ,79.00 ,2625.00 ,18.60 ,82.00 
Ford Thunderbird,16.00 ,8.00 ,351.00 ,149.00 ,4335.00 ,14.50 ,77.00 
Ford Torino 500,19.00 ,6.00 ,250.00 ,88.00 ,3302.00 ,15.50 ,71.00 
Ford Torino,17.00 ,8.00 ,302.00 ,140.00 ,3449.00 ,10.50 ,70.00 
Hi 1200D,9.00 ,8.00 ,304.00 ,193.00 ,4732.00 ,18.50 ,70.00 
Honda Accord CVCC,31.50 ,4.00 ,98.00 ,68.00 ,2045.00 ,18.50 ,77.00 
Honda Accord LX,29.50 ,4.00 ,98.00 ,68.00 ,2135.00 ,16.60 ,78.00 
Honda Accord,32.40 ,4.00 ,107.00 ,72.00 ,2290.00 ,17.00 ,80.00 
Honda Accord,36.00 ,4.00 ,107.00 ,75.00 ,2205.00 ,14.50 ,82.00 
Honda Civic (Auto),32.00 ,4.00 ,91.00 ,67.00 ,1965.00 ,15.70 ,82.00 
Honda Civic 1300,35.10 ,4.00 ,81.00 ,60.00 ,1760.00 ,16.10 ,81.00 
Honda Civic 1500 GL,44.60 ,4.00 ,91.00 ,67.00 ,1850.00 ,13.80 ,80.00 
Honda Civic CVCC,33.00 ,4.00 ,91.00 ,53.00 ,1795.00 ,17.50 ,75.00 
Honda Civic CVCC,36.10 ,4.00 ,91.00 ,60.00 ,1800.00 ,16.40 ,78.00 
Honda Civic,24.00 ,4.00 ,120.00 ,97.00 ,2489.00 ,15.00 ,74.00 
Honda Civic,33.00 ,4.00 ,91.00 ,53.00 ,1795.00 ,17.40 ,76.00 
Honda Civic,38.00 ,4.00 ,91.00 ,67.00 ,1965.00 ,15.00 ,82.00 
Honda Prelude,33.70 ,4.00 ,107.00 ,75.00 ,2210.00 ,14.40 ,81.00 
Maxda GLC Deluxe,34.10 ,4.00 ,86.00 ,65.00 ,1975.00 ,15.20 ,79.00 
Maxda RX-3,18.00 ,3.00 ,70.00 ,90.00 ,2124.00 ,13.50 ,73.00 
Mazda 626,31.30 ,4.00 ,120.00 ,75.00 ,2542.00 ,17.50 ,80.00 
Mazda 626,31.60 ,4.00 ,120.00 ,74.00 ,2635.00 ,18.30 ,81.00 
Mazda GLC 4,34.10 ,4.00 ,91.00 ,68.00 ,1985.00 ,16.00 ,81.00 
Mazda GLC Custom L,37.00 ,4.00 ,91.00 ,68.00 ,2025.00 ,18.20 ,82.00 
Mazda GLC Custom,31.00 ,4.00 ,91.00 ,68.00 ,1970.00 ,17.60 ,82.00 
Mazda GLC Deluxe,32.80 ,4.00 ,78.00 ,52.00 ,1985.00 ,19.40 ,78.00 
Mazda GLC,46.60 ,4.00 ,86.00 ,65.00 ,2110.00 ,17.90 ,80.00 
Mazda RX-2 Coupe,19.00 ,3.00 ,70.00 ,97.00 ,2330.00 ,13.50 ,72.00 
Mazda RX-4,21.50 ,3.00 ,80.00 ,110.00 ,2720.00 ,13.50 ,77.00 
Mazda RX-7 Gs,23.70 ,3.00 ,70.00 ,100.00 ,2420.00 ,12.50 ,80.00 
Mercedes-Benz 240D,30.00 ,4.00 ,146.00 ,67.00 ,3250.00 ,21.80 ,80.00 
Mercedes-Benz 280S,16.50 ,6.00 ,168.00 ,120.00 ,3820.00 ,16.70 ,76.00 
Mercedes-Benz 300D,25.40 ,5.00 ,183.00 ,77.00 ,3530.00 ,20.10 ,79.00 
Mercury Capri 2000,23.00 ,4.00 ,122.00 ,86.00 ,2220.00 ,14.00 ,71.00 
Mercury Capri V6,21.00 ,6.00 ,155.00 ,107.00 ,2472.00 ,14.00 ,73.00 
Mercury Cougar Brougham,15.00 ,8.00 ,302.00 ,130.00 ,4295.00 ,14.90 ,77.00 
Mercury Grand Marquis,16.50 ,8.00 ,351.00 ,138.00 ,3955.00 ,13.20 ,79.00 
Mercury Lynx L,36.00 ,4.00 ,98.00 ,70.00 ,2125.00 ,17.30 ,82.00 
Mercury Marquis Brougham,12.00 ,8.00 ,429.00 ,198.00 ,4952.00 ,11.50 ,73.00 
Mercury Marquis,11.00 ,8.00 ,429.00 ,208.00 ,4633.00 ,11.00 ,72.00 
Mercury Monarch Ghia,20.20 ,8.00 ,302.00 ,139.00 ,3570.00 ,12.80 ,78.00 
Mercury Monarch,15.00 ,6.00 ,250.00 ,72.00 ,3432.00 ,21.00 ,75.00 
Mercury Zephyr 6,19.80 ,6.00 ,200.00 ,85.00 ,2990.00 ,18.20 ,79.00 
Mercury Zephyr,20.80 ,6.00 ,200.00 ,85.00 ,3070.00 ,16.70 ,78.00 
Nissan Stanza XE,36.00 ,4.00 ,120.00 ,88.00 ,2160.00 ,14.50 ,82.00 
Oldsmobile Cutlass Ciera (Diesel),38.00 ,6.00 ,262.00 ,85.00 ,3015.00 ,17.00 ,82.00 
Oldsmobile Cutlass LS,26.60 ,8.00 ,350.00 ,105.00 ,3725.00 ,19.00 ,81.00 
Oldsmobile Cutlass Salon Brougham,19.90 ,8.00 ,260.00 ,110.00 ,3365.00 ,15.50 ,78.00 
Oldsmobile Cutlass Salon Brougham,23.90 ,8.00 ,260.00 ,90.00 ,3420.00 ,22.20 ,79.00 
Oldsmobile Cutlass Supreme,17.00 ,8.00 ,260.00 ,110.00 ,4060.00 ,19.00 ,77.00 
Oldsmobile Delta 88 Royale,12.00 ,8.00 ,350.00 ,160.00 ,4456.00 ,13.50 ,72.00 
Oldsmobile Omega Brougham,26.80 ,6.00 ,173.00 ,115.00 ,2700.00 ,12.90 ,79.00 
Oldsmobile Omega,11.00 ,8.00 ,350.00 ,180.00 ,3664.00 ,11.00 ,73.00 
Oldsmobile Starfire SX,23.80 ,4.00 ,151.00 ,85.00 ,2855.00 ,17.60 ,78.00 
Oldsmobile Vista Cruiser,12.00 ,8.00 ,350.00 ,180.00 ,4499.00 ,12.50 ,73.00 
Opel 1900,25.00 ,4.00 ,116.00 ,81.00 ,2220.00 ,16.90 ,76.00 
Opel 1900,28.00 ,4.00 ,116.00 ,90.00 ,2123.00 ,14.00 ,71.00 
Opel Manta,24.00 ,4.00 ,116.00 ,75.00 ,2158.00 ,15.50 ,73.00 
Opel Manta,26.00 ,4.00 ,97.00 ,78.00 ,2300.00 ,14.50 ,74.00 
Peugeot 304,30.00 ,4.00 ,79.00 ,70.00 ,2074.00 ,19.50 ,71.00 
Peugeot 504 (Wagon),21.00 ,4.00 ,120.00 ,87.00 ,2979.00 ,19.50 ,72.00 
Peugeot 504,19.00 ,4.00 ,120.00 ,88.00 ,3270.00 ,21.90 ,76.00 
Peugeot 504,23.00 ,4.00 ,120.00 ,88.00 ,2957.00 ,17.00 ,75.00 
Peugeot 504,25.00 ,4.00 ,110.00 ,87.00 ,2672.00 ,17.50 ,70.00 
Peugeot 504,27.20 ,4.00 ,141.00 ,71.00 ,3190.00 ,24.80 ,79.00 
Peugeot 505S Turbo Diesel,28.10 ,4.00 ,141.00 ,80.00 ,3230.00 ,20.40 ,81.00 
Peugeot 604SL,16.20 ,6.00 ,163.00 ,133.00 ,3410.00 ,15.80 ,78.00 
Plymouth Arrow GS,25.50 ,4.00 ,122.00 ,96.00 ,2300.00 ,15.50 ,77.00 
Plymouth Barracuda 340,14.00 ,8.00 ,340.00 ,160.00 ,3609.00 ,8.00 ,70.00 
Plymouth Champ,39.00 ,4.00 ,86.00 ,64.00 ,1875.00 ,16.40 ,81.00 
Plymouth Cricket,26.00 ,4.00 ,91.00 ,70.00 ,1955.00 ,20.50 ,71.00 
Plymouth Custom Suburb,13.00 ,8.00 ,360.00 ,170.00 ,4654.00 ,13.00 ,73.00 
Plymouth Duster,20.00 ,6.00 ,198.00 ,95.00 ,3102.00 ,16.50 ,74.00 
Plymouth Duster,22.00 ,6.00 ,198.00 ,95.00 ,2833.00 ,15.50 ,70.00 
Plymouth Duster,23.00 ,6.00 ,198.00 ,95.00 ,2904.00 ,16.00 ,73.00 
Plymouth Fury Gran Sedan,14.00 ,8.00 ,318.00 ,150.00 ,4237.00 ,14.50 ,73.00 
Plymouth Fury III,14.00 ,8.00 ,318.00 ,150.00 ,4096.00 ,13.00 ,71.00 
Plymouth Fury III,14.00 ,8.00 ,440.00 ,215.00 ,4312.00 ,8.50 ,70.00 
Plymouth Fury III,15.00 ,8.00 ,318.00 ,150.00 ,4135.00 ,13.50 ,72.00 
Plymouth Fury,18.00 ,6.00 ,225.00 ,95.00 ,3785.00 ,19.00 ,75.00 
Plymouth Grand Fury,16.00 ,8.00 ,318.00 ,150.00 ,4498.00 ,14.50 ,75.00 
Plymouth Horizon 4,34.70 ,4.00 ,105.00 ,63.00 ,2215.00 ,14.90 ,81.00 
Plymouth Horizon Miser,38.00 ,4.00 ,105.00 ,63.00 ,2125.00 ,14.70 ,82.00 
Plymouth Horizon TC3,34.50 ,4.00 ,105.00 ,70.00 ,2150.00 ,14.90 ,79.00 
Plymouth Horizon,34.20 ,4.00 ,105.00 ,70.00 ,2200.00 ,13.20 ,79.00 
Plymouth Reliant,27.20 ,4.00 ,135.00 ,84.00 ,2490.00 ,15.70 ,81.00 
Plymouth Reliant,30.00 ,4.00 ,135.00 ,84.00 ,2385.00 ,12.90 ,81.00 
Plymouth Sapporo,23.20 ,4.00 ,156.00 ,105.00 ,2745.00 ,16.70 ,78.00 
Plymouth Satellite Custom (Wagon),14.00 ,8.00 ,318.00 ,150.00 ,4077.00 ,14.00 ,72.00 
Plymouth Satellite Custom,16.00 ,6.00 ,225.00 ,105.00 ,3439.00 ,15.50 ,71.00 
Plymouth Satellite Sebring,18.00 ,6.00 ,225.00 ,105.00 ,3613.00 ,16.50 ,74.00 
Plymouth Satellite,18.00 ,8.00 ,318.00 ,150.00 ,3436.00 ,11.00 ,70.00 
Plymouth Valiant Custom,19.00 ,6.00 ,225.00 ,95.00 ,3264.00 ,16.00 ,75.00 
Plymouth Valiant,18.00 ,6.00 ,225.00 ,105.00 ,3121.00 ,16.50 ,73.00 
Plymouth Valiant,22.00 ,6.00 ,225.00 ,100.00 ,3233.00 ,15.40 ,76.00 
Plymouth Volare Custom,19.00 ,6.00 ,225.00 ,100.00 ,3630.00 ,17.70 ,77.00 
Plymouth Volare Premier V8,13.00 ,8.00 ,318.00 ,150.00 ,3940.00 ,13.20 ,76.00 
Plymouth Volare,20.50 ,6.00 ,225.00 ,100.00 ,3430.00 ,17.20 ,78.00 
Pontiac Astro,23.00 ,4.00 ,140.00 ,78.00 ,2592.00 ,18.50 ,75.00 
Pontiac Catalina Brougham,14.00 ,8.00 ,400.00 ,175.00 ,4464.00 ,11.50 ,71.00 
Pontiac Catalina,14.00 ,8.00 ,400.00 ,175.00 ,4385.00 ,12.00 ,72.00 
Pontiac Catalina,14.00 ,8.00 ,455.00 ,225.00 ,4425.00 ,10.00 ,70.00 
Pontiac Catalina,16.00 ,8.00 ,400.00 ,170.00 ,4668.00 ,11.50 ,75.00 
Pontiac Firebird,19.00 ,6.00 ,250.00 ,100.00 ,3282.00 ,15.00 ,71.00 
Pontiac Grand Prix Lj,16.00 ,8.00 ,400.00 ,180.00 ,4220.00 ,11.10 ,77.00 
Pontiac Grand Prix,16.00 ,8.00 ,400.00 ,230.00 ,4278.00 ,9.50 ,73.00 
Pontiac J2000 Se Hatchback,31.00 ,4.00 ,112.00 ,85.00 ,2575.00 ,16.20 ,82.00 
Pontiac Lemans V6,21.50 ,6.00 ,231.00 ,115.00 ,3245.00 ,15.40 ,79.00 
Pontiac Phoenix LJ,19.20 ,6.00 ,231.00 ,105.00 ,3535.00 ,19.20 ,78.00 
Pontiac Phoenix,27.00 ,4.00 ,151.00 ,90.00 ,2735.00 ,18.00 ,82.00 
Pontiac Phoenix,33.50 ,4.00 ,151.00 ,90.00 ,2556.00 ,13.20 ,79.00 
Pontiac Safari (Wagon),13.00 ,8.00 ,400.00 ,175.00 ,5140.00 ,12.00 ,71.00 
Pontiac Sunbird Coupe,24.50 ,4.00 ,151.00 ,88.00 ,2740.00 ,16.00 ,77.00 
Pontiac Ventura Sj,18.50 ,6.00 ,250.00 ,110.00 ,3645.00 ,16.20 ,76.00 
Renault 12 (Wagon),26.00 ,4.00 ,96.00 ,69.00 ,2189.00 ,18.00 ,72.00 
Renault 12TL,27.00 ,4.00 ,101.00 ,83.00 ,2202.00 ,15.30 ,76.00 
Renault 18I,34.50 ,4.00 ,100.00 ,,2320.00 ,15.80 ,81.00 
Renault 5 Gtl,36.00 ,4.00 ,79.00 ,58.00 ,1825.00 ,18.60 ,77.00 
Renault Lecar Deluxe,40.90 ,4.00 ,85.00 ,,1835.00 ,17.30 ,80.00 
Saab 99E,25.00 ,4.00 ,104.00 ,95.00 ,2375.00 ,17.50 ,70.00 
Saab 99GLE,21.60 ,4.00 ,121.00 ,115.00 ,2795.00 ,15.70 ,78.00 
Saab 99LE,24.00 ,4.00 ,121.00 ,110.00 ,2660.00 ,14.00 ,73.00 
Saab 99LE,25.00 ,4.00 ,121.00 ,115.00 ,2671.00 ,13.50 ,75.00 
Subaru DL,30.00 ,4.00 ,97.00 ,67.00 ,1985.00 ,16.40 ,77.00 
Subaru DL,33.80 ,4.00 ,97.00 ,67.00 ,2145.00 ,18.00 ,80.00 
Subaru,26.00 ,4.00 ,108.00 ,93.00 ,2391.00 ,15.50 ,74.00 
Subaru,32.30 ,4.00 ,97.00 ,67.00 ,2065.00 ,17.80 ,81.00 
Toyota Carina,20.00 ,4.00 ,97.00 ,88.00 ,2279.00 ,19.00 ,73.00 
Toyota Celica GT Liftback,21.10 ,4.00 ,134.00 ,95.00 ,2515.00 ,14.80 ,78.00 
Toyota Celica GT,32.00 ,4.00 ,144.00 ,96.00 ,2665.00 ,13.90 ,82.00 
Toyota Corolla 1200,31.00 ,4.00 ,71.00 ,65.00 ,1773.00 ,19.00 ,71.00 
Toyota Corolla 1200,32.00 ,4.00 ,71.00 ,65.00 ,1836.00 ,21.00 ,74.00 
Toyota Corolla 1600 (Wagon),27.00 ,4.00 ,97.00 ,88.00 ,2100.00 ,16.50 ,72.00 
Toyota Corolla Liftback,26.00 ,4.00 ,97.00 ,75.00 ,2265.00 ,18.20 ,77.00 
Toyota Corolla Tercel,38.10 ,4.00 ,89.00 ,60.00 ,1968.00 ,18.80 ,80.00 
Toyota Corolla,28.00 ,4.00 ,97.00 ,75.00 ,2155.00 ,16.40 ,76.00 
Toyota Corolla,29.00 ,4.00 ,97.00 ,75.00 ,2171.00 ,16.00 ,75.00 
Toyota Corolla,32.20 ,4.00 ,108.00 ,75.00 ,2265.00 ,15.20 ,80.00 
Toyota Corolla,32.40 ,4.00 ,108.00 ,75.00 ,2350.00 ,16.80 ,81.00 
Toyota Corolla,34.00 ,4.00 ,108.00 ,70.00 ,2245.00 ,16.90 ,82.00 
Toyota Corona Hardtop,24.00 ,4.00 ,113.00 ,95.00 ,2278.00 ,15.50 ,72.00 
Toyota Corona Liftback,29.80 ,4.00 ,134.00 ,90.00 ,2711.00 ,15.50 ,80.00 
Toyota Corona Mark II,24.00 ,4.00 ,113.00 ,95.00 ,2372.00 ,15.00 ,70.00 
Toyota Corona,24.00 ,4.00 ,134.00 ,96.00 ,2702.00 ,13.50 ,75.00 
Toyota Corona,25.00 ,4.00 ,113.00 ,95.00 ,2228.00 ,14.00 ,71.00 
Toyota Corona,27.50 ,4.00 ,134.00 ,95.00 ,2560.00 ,14.20 ,78.00 
Toyota Corona,31.00 ,4.00 ,76.00 ,52.00 ,1649.00 ,16.50 ,74.00 
Toyota Cressida,25.40 ,6.00 ,168.00 ,116.00 ,2900.00 ,12.60 ,81.00 
Toyota Mark II,19.00 ,6.00 ,156.00 ,108.00 ,2930.00 ,15.50 ,76.00 
Toyota Mark II,20.00 ,6.00 ,156.00 ,122.00 ,2807.00 ,13.50 ,73.00 
Toyota Starlet,39.10 ,4.00 ,79.00 ,58.00 ,1755.00 ,16.90 ,81.00 
Toyota Tercel,37.70 ,4.00 ,89.00 ,62.00 ,2050.00 ,17.30 ,81.00 
Toyouta Corona Mark II (Wagon),23.00 ,4.00 ,120.00 ,97.00 ,2506.00 ,14.50 ,72.00 
Triumph TR7 Coupe,35.00 ,4.00 ,122.00 ,88.00 ,2500.00 ,15.10 ,80.00 
Vokswagen Rabbit,29.80 ,4.00 ,89.00 ,62.00 ,1845.00 ,15.30 ,80.00 
Volkswagen 1131 Deluxe Sedan,26.00 ,4.00 ,97.00 ,46.00 ,1835.00 ,20.50 ,70.00 
Volkswagen 411 (Wagon),22.00 ,4.00 ,121.00 ,76.00 ,2511.00 ,18.00 ,72.00 
Volkswagen Dasher (Diesel),43.40 ,4.00 ,90.00 ,48.00 ,2335.00 ,23.70 ,80.00 
Volkswagen Dasher,25.00 ,4.00 ,90.00 ,71.00 ,2223.00 ,16.50 ,75.00 
Volkswagen Dasher,26.00 ,4.00 ,79.00 ,67.00 ,1963.00 ,15.50 ,74.00 
Volkswagen Dasher,30.50 ,4.00 ,97.00 ,78.00 ,2190.00 ,14.10 ,77.00 
Volkswagen Jetta,33.00 ,4.00 ,105.00 ,74.00 ,2190.00 ,14.20 ,81.00 
Volkswagen Model 111,27.00 ,4.00 ,97.00 ,60.00 ,1834.00 ,19.00 ,71.00 
Volkswagen Pickup,44.00 ,4.00 ,97.00 ,52.00 ,2130.00 ,24.60 ,82.00 
Volkswagen Rabbit C (Diesel),44.30 ,4.00 ,90.00 ,48.00 ,2085.00 ,21.70 ,80.00 
Volkswagen Rabbit Custom Diesel,43.10 ,4.00 ,90.00 ,48.00 ,1985.00 ,21.50 ,78.00 
Volkswagen Rabbit Custom,29.00 ,4.00 ,97.00 ,78.00 ,1940.00 ,14.50 ,77.00 
Volkswagen Rabbit Custom,31.90 ,4.00 ,89.00 ,71.00 ,1925.00 ,14.00 ,79.00 
Volkswagen Rabbit L,36.00 ,4.00 ,105.00 ,74.00 ,1980.00 ,15.30 ,82.00 
Volkswagen Rabbit,29.00 ,4.00 ,90.00 ,70.00 ,1937.00 ,14.00 ,75.00 
Volkswagen Rabbit,29.00 ,4.00 ,90.00 ,70.00 ,1937.00 ,14.20 ,76.00 
Volkswagen Rabbit,29.50 ,4.00 ,97.00 ,71.00 ,1825.00 ,12.20 ,76.00 
Volkswagen Rabbit,41.50 ,4.00 ,98.00 ,76.00 ,2144.00 ,14.70 ,80.00 
Volkswagen Scirocco,31.50 ,4.00 ,89.00 ,71.00 ,1990.00 ,14.90 ,78.00 
Volkswagen Super Beetle,26.00 ,4.00 ,97.00 ,46.00 ,1950.00 ,21.00 ,73.00 
Volkswagen Type 3,23.00 ,4.00 ,97.00 ,54.00 ,2254.00 ,23.50 ,72.00 
Volvo 144EA,19.00 ,4.00 ,121.00 ,112.00 ,2868.00 ,15.50 ,73.00 
Volvo 145E (Wagon),18.00 ,4.00 ,121.00 ,112.00 ,2933.00 ,14.50 ,72.00 
Volvo 244DL,22.00 ,4.00 ,121.00 ,98.00 ,2945.00 ,14.50 ,75.00 
Volvo 245,20.00 ,4.00 ,130.00 ,102.00 ,3150.00 ,15.70 ,76.00 
Volvo 264GL,17.00 ,6.00 ,163.00 ,125.00 ,3140.00 ,13.60 ,78.00 
Volvo Diesel,30.70 ,6.00 ,145.00 ,76.00 ,3160.00 ,19.60 ,81.00 
